net,length_um
_0119_,11.81µm
_0127_,11.81µm
_0250_,11.81µm
_0304_,11.81µm
_0314_,11.81µm
_0391_,11.81µm
counter_control_status_register\[1\],11.81µm
ADDR_I[3],11.785µm
ADDR_I[5],11.785µm
ADDR_I[6],11.785µm
DAT_I[1],11.785µm
_0087_,11.76µm
_0108_,11.76µm
_0160_,11.76µm
_0265_,11.76µm
net37,11.76µm
bypass_pin_control[1],11.62µm
_0136_,11.3µm
_0042_,11.25µm
_0064_,11.25µm
_0092_,11.25µm
_0144_,11.25µm
_0322_,11.25µm
_0395_,11.25µm
_0396_,11.25µm
_0540_,11.25µm
net49,11.25µm
net16,11.2µm
_0143_,11.2µm
_0232_,11.2µm
_0334_,11.2µm
_0451_,11.2µm
_0536_,11.2µm
_0580_,11.2µm
net63,11.2µm
net70,11.2µm
net89,11.2µm
net102,11.2µm
_0028_,10.69µm
_0298_,10.69µm
_0424_,10.69µm
_0490_,10.69µm
_0502_,10.69µm
_0590_,10.69µm
net80,10.69µm
_0056_,10.64µm
_0075_,10.64µm
_0238_,10.64µm
_0378_,10.64µm
_0457_,10.64µm
bypass_pin_control[2],10.5µm
pga_gain_control[2],10.5µm
net54,10.18µm
_0120_,10.13µm
_0155_,10.13µm
_0192_,10.13µm
_0290_,10.13µm
_0525_,10.13µm
_0049_,10.08µm
_0054_,10.08µm
_0280_,10.08µm
_0345_,10.08µm
_0464_,10.08µm
net84,10.08µm
pga_gain_control[1],9.94µm
_0521_,9.62µm
DAT_I[0],9.595µm
_0011_,9.57µm
_0093_,9.57µm
_0095_,9.57µm
_0198_,9.57µm
_0522_,9.57µm
_0568_,9.57µm
_0013_,9.52µm
_0090_,9.52µm
_0214_,9.52µm
_0485_,9.52µm
_0573_,9.52µm
net64,9.52µm
net95,9.52µm
trigger_signal_out,9.38µm
_0063_,9.01µm
_0083_,9.01µm
_0190_,9.01µm
_0301_,9.01µm
_0392_,9.01µm
_0630_,9.01µm
input_previous_state,9.01µm
net69,9.01µm
_0077_,8.96µm
_0140_,8.96µm
_0142_,8.96µm
_0267_,8.96µm
_0313_,8.96µm
_0449_,8.96µm
_0476_,8.96µm
_0642_,8.96µm
_0316_,8.5µm
_0408_,8.5µm
_0516_,8.5µm
net53,8.5µm
net,8.475µm
_0463_,8.45µm
net72,8.45µm
net85,8.45µm
_0005_,8.4µm
_0026_,8.4µm
_0033_,8.4µm
_0294_,8.4µm
_0351_,8.4µm
signal_input_regs,8.4µm
_0472_,8.4µm
_0591_,8.4µm
_0643_,8.4µm
range_timing_register\[6\],8.4µm
net47,8.4µm
pga_gain_control[0],8.31µm
_0307_,7.94µm
_0008_,7.89µm
_0088_,7.89µm
_0215_,7.89µm
_0258_,7.89µm
_0057_,7.84µm
_0111_,7.84µm
_0135_,7.84µm
_0141_,7.84µm
_0213_,7.84µm
_0263_,7.84µm
_0365_,7.84µm
_0470_,7.84µm
_0503_,7.84µm
_0538_,7.84µm
_0566_,7.84µm
net31,7.84µm
clknet_0_signal_input_regs,7.84µm
net67,7.84µm
net87,7.84µm
net100,7.84µm
_0038_,7.38µm
_0356_,7.38µm
_0631_,7.38µm
_0021_,7.33µm
_0159_,7.33µm
_0271_,7.33µm
_0562_,7.33µm
_0632_,7.33µm
net61,7.33µm
_0203_,7.28µm
_0229_,7.28µm
_0261_,7.28µm
_0389_,7.28µm
_0425_,7.28µm
_0493_,7.28µm
_0636_,7.28µm
clknet_0_signal_input,7.28µm
range_finished_internal_flag,6.82µm
_0017_,6.77µm
_0030_,6.77µm
_0048_,6.77µm
_0102_,6.77µm
_0112_,6.77µm
_0139_,6.77µm
_0189_,6.77µm
_0233_,6.77µm
_0352_,6.77µm
_0543_,6.77µm
_0545_,6.77µm
_0010_,6.72µm
_0031_,6.72µm
_0073_,6.72µm
_0086_,6.72µm
_0121_,6.72µm
_0217_,6.72µm
_0242_,6.72µm
_0353_,6.72µm
_0407_,6.72µm
_0422_,6.72µm
_0438_,6.72µm
net52,6.72µm
_0027_,6.26µm
_0218_,6.26µm
_0009_,6.21µm
_0158_,6.21µm
_0309_,6.21µm
_0626_,6.21µm
net91,6.21µm
_0059_,6.16µm
_0072_,6.16µm
_0123_,6.16µm
_0235_,6.16µm
_0306_,6.16µm
_0333_,6.16µm
_0515_,6.16µm
_0556_,6.16µm
net77,6.16µm
net103,6.16µm
net45,5.7µm
_0303_,5.7µm
_0465_,5.7µm
_0482_,5.7µm
_0487_,5.7µm
_0498_,5.7µm
_0640_,5.7µm
_0002_,5.65µm
_0426_,5.65µm
_0535_,5.65µm
_0628_,5.65µm
net44,5.6µm
_0053_,5.6µm
_0081_,5.6µm
_0118_,5.6µm
_0122_,5.6µm
_0157_,5.6µm
_0244_,5.6µm
_0255_,5.6µm
